product_id,name,price,quantity,category,description,production_date,expiration_date,status
83,Чоризо,9694.0,375,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2004-01-10,2010-03-03,Out of Stock
85,Фольга алюминиевая,6991.0,422,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2014-01-19,2030-04-02,Out of Stock
86,Ребрышки,723.0,178,Мясо,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2001-06-06,2028-01-27,Returned
87,Чечевица,7889.0,79,Овощи,Широко используется в традиционной и современной кухне.,2001-01-06,2012-02-01,Refunded
88,Кролик,5686.0,532,Мясо,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2020-03-15,2023-06-01,In Stock
89,Кашинская,1492.0,965,Напитки,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2004-01-06,2024-01-17,Refunded
90,Фахитас с мясом,275.0,952,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2013-04-22,2027-02-18,New
91,Кабачок,5240.0,892,Овощи,Отличается способностью повышать общий тонус и работоспособность.,2003-04-01,2011-01-05,Available for Pickup
92,Редис,4424.0,846,Овощи,Прошел сертификацию на соответствие требованиям органических стандартов.,1992-02-01,2010-01-05,Refunded
94,Нектарин,7066.0,970,Фрукты,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",1992-09-06,2015-06-12,Temporarily Unavailable
95,Растительное масло кокосовое,7714.0,494,Бакалея,Помогает улучшить когнитивные функции и память.,2018-05-03,2026-04-18,Available for Pickup
96,Уральская,9981.0,783,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2017-07-07,2019-02-23,Returned
97,Березовский родник,3886.0,8,Напитки,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2002-05-09,2018-01-05,Cancelled
98,Компот из сухофруктов,6821.0,296,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1996-04-05,2004-03-14,Delivered
99,Шпик,9188.0,99,Мясо,"Подходит для людей всех возрастов, включая детей и пожилых.",2010-01-05,2020-03-09,Awaiting Payment
100,Черешня,2825.0,606,Фрукты,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2004-03-05,2030-02-07,Delivered
103,Марьинская,729.0,132,Напитки,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1997-01-09,2018-12-08,In Stock
104,Перец болгарский,1717.0,268,Овощи,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1998-03-16,2030-04-05,Awaiting Payment
106,Лимон,7987.0,817,Фрукты,Помогает поддерживать нормальный уровень pH в организме.,1995-02-05,2028-01-14,New
107,Мыло твердое,8967.0,134,Товары для дома,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2008-04-02,2028-06-13,Awaiting Review
108,Косулятина,5068.0,551,Мясо,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1999-01-21,2004-01-03,Delivered
109,Студень,3136.0,501,Мясо,Служит основой для создания множества кулинарных шедевров.,2018-01-22,2025-04-02,New
110,Чоризо,6289.0,240,Мясо,Является важным компонентом сбалансированного рациона питания.,2002-02-19,2018-03-03,Out of Stock
111,Банан,6637.0,516,Фрукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2021-09-03,2026-12-02,Sold
113,Капуста белокочанная,8820.0,42,Овощи,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1993-04-09,2026-02-03,Delivered
114,Каша из пшеницы спельты,4680.0,471,Бакалея,Прошел сертификацию на соответствие требованиям органических стандартов.,2013-08-03,2027-01-05,Pending
115,Тостер,2485.0,680,Товары для дома,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2008-01-26,2030-03-09,Backorder
117,Утиная печень,4393.0,228,Мясо,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2022-01-20,2023-01-03,Available for Pickup
118,Эндивий,8659.0,560,Овощи,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2017-02-19,2024-01-09,Backorder
121,Саратовская,7359.0,307,Напитки,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2014-02-01,2024-08-01,Shipping
122,Огурец,6089.0,777,Овощи,Подходит для использования в рационе людей с повышенным давлением.,2016-05-16,2017-01-01,In Stock
123,Томская,221.0,438,Напитки,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2001-04-01,2010-06-02,Cancelled
124,Чеснок,7856.0,938,Овощи,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2016-02-05,2027-03-02,Sold
126,Петрушка корневая,2696.0,411,Овощи,Является важным элементом спортивного питания для восстановления после тренировок.,2004-01-04,2026-04-22,New
128,Сок ананасовый,7495.0,342,Напитки,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1995-02-16,2017-01-23,Awaiting Review
129,Пакеты для спортзала,5017.0,402,Товары для дома,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2003-01-04,2015-08-06,Returned
130,Пакеты для тренинга,2663.0,49,Товары для дома,Помогает поддерживать нормальный уровень триглицеридов в крови.,2010-01-23,2018-02-08,Backorder
131,Бадьян,6699.0,772,Бакалея,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2000-11-08,2023-03-24,On Backorder
133,Соль,6096.0,462,Бакалея,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2021-06-04,2027-01-05,On Backorder
134,Смузи шпинатно-банановый,6153.0,250,Напитки,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2022-01-20,2025-02-15,In Stock
135,Пакеты для Дня учителя,2562.0,859,Товары для дома,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2017-01-01,2026-04-04,Sold
136,Блюдца,6627.0,511,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2013-01-01,2028-10-07,On Backorder
137,Капуста белокочанная,7806.0,278,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2020-04-04,2027-01-10,Sold
138,Пепперони,4045.0,149,Мясо,Отличается хорошим сочетанием с различными специями и приправами.,2000-02-11,2008-06-12,Returned
139,Краснодарская,5673.0,119,Напитки,Помогает улучшить когнитивные функции и память.,1991-05-02,1992-03-04,Refunded
140,Подставки под горячие блюда,4575.0,826,Товары для дома,"Помогает улучшить состояние волос, ногтей и кожи.",1998-06-01,2017-02-01,Delivered
141,Ложки чайные,7461.0,620,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2015-08-03,2019-02-17,New
142,Укроп,2154.0,791,Овощи,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1994-07-01,2030-01-10,Pending
143,Красный перец чили молотый,7116.0,881,Бакалея,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2012-08-02,2023-05-17,Awaiting Payment
144,Пакеты для Всемирного дня воды,907.0,635,Товары для дома,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2005-02-02,2021-01-14,Delivered
145,Сырокопченая колбаса,4843.0,349,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2006-06-12,2027-01-05,In Stock
146,Сок ананасовый,2537.0,796,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2022-06-04,2029-01-06,Sold
147,Огурец,6289.0,522,Овощи,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2006-04-11,2028-03-05,Awaiting Payment
148,Кольраби,8858.0,494,Овощи,Помогает поддерживать здоровый цвет лица и упругость кожи.,2022-06-02,2029-02-06,Returned
149,Пятновыводитель,8664.0,797,Товары для дома,"Обладает мягким вкусом, который нравится многим потребителям.",2002-01-02,2016-06-01,Awaiting Review
150,Эндивий,2704.0,37,Овощи,Широко используется в традиционной и современной кухне.,1994-01-05,2019-02-02,Backorder
151,Новошахтинская,8179.0,499,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2022-04-03,2027-08-02,Pending
152,Мацеста,3631.0,730,Напитки,Является важным компонентом сбалансированного рациона питания.,1995-01-13,2014-01-10,Backorder
153,Мед,9462.0,280,Бакалея,Помогает сохранять бодрость и активность в течение дня.,1991-01-06,2000-02-16,Awaiting Review
155,Кондиционер для волос,512.0,841,Товары для дома,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2014-01-01,2021-02-17,Cancelled
158,Источник Троицкий,4469.0,96,Напитки,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2014-02-01,2019-01-15,Temporarily Unavailable
160,Утиная печень,9700.0,732,Мясо,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2011-06-10,2013-03-24,Returned
161,Киви,1957.0,643,Фрукты,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2004-01-03,2027-06-01,Shipping
162,Простыни,7932.0,35,Товары для дома,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2016-01-07,2024-01-09,Backorder
163,Подушки,3064.0,115,Товары для дома,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2001-02-13,2026-04-19,Available for Pickup
164,Студень,1259.0,51,Мясо,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1995-02-01,2017-01-25,On Backorder
165,Цветная капуста,3054.0,551,Овощи,"Богат кальцием, необходимым для укрепления костей и зубов.",2019-10-07,2023-01-11,Delivered
166,Сало,8733.0,25,Мясо,Подходит для использования в специализированных диетах и лечебных программах.,2007-03-23,2030-07-07,Temporarily Unavailable
167,Комсомольская,4449.0,578,Напитки,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2017-07-11,2024-05-05,Returned
168,Инжир,4352.0,107,Фрукты,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2009-03-07,2026-05-01,Shipping
169,Одеяла,7499.0,243,Товары для дома,Используется в косметологии для ухода за кожей и волосами.,1990-03-11,1993-05-04,Delivered
170,Петрушка корневая,7385.0,823,Овощи,Отличается высокими показателями усвояемости организмом.,1999-04-01,2029-02-02,Shipping
171,Куриные ножки,8953.0,872,Мясо,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2013-01-01,2013-04-02,Sold
